,hs_class,text
65,positive, xf0 x9f x8e xb6 lah lah lah hem hem xf0 x9f x8e xa7 semua diam semua bisu dan kita coba tanya sama rumput yang bergoyang dan xe2 x99 xab xe2 x99 xab xe2 x99 xab xe2 x99 xaa xe2 x99 xaa xe2 x99 xaa 
66,positive,apabila setan membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a xe2 x80 x99raf 200 dan fussilat 36 
67,positive, kalau kamu ateis apa sibuk dengan agama orang 
68,negative,lengserkan jokowi bangsat 
69,positive, selamat hari kakak ini 2019 ganti presiden 2019 presiden baru
70,negative, bajingan homo hati hati terhadap anak anak kita terutama di kamar mandi laki laki jangan biarkan sendiri uniform resource locator
71,negative, iya cocot 
72,positive, karena budaya indonesia 
73,positive, yang mengajarkan salat a saja itu orang asing dia hanya ingin memecah belah islam 
74,negative, x kamu berbicara saja tidak benar bangkai 
75,positive, kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara kita kini untuk menjadikan sebagai negara republik komunis padahal negara negara penjaja
76,negative,tapi masih menikmati kebijakan yang dulu diusulkan pak ai komunis indonesia lah iya apa 
77,negative,kalau seumpama orang cina di usir paksa dari indonesia bagaimana
78,positive, bunda ngentot yuk 
79,negative, cina babi cina maling dan usir cina hype ext transfer protocol over secure socket layer t co 9y4hiwhjp2
80,positive,bung karno anti asing dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya dan kalau kami keliru kami tutup akun 
81,negative,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator
82,positive, wajar saja lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas asing setiap kali bicara 
83,positive,ab pribadi yang senang berkompetisi dalam hal yang baik dan positif
84,negative, terus menurut kamu kitab suci agama apa yang di bilang om mendadak kalap
85,positive, suka menutup mata tidak ditutup pun sudah terlihat te utup gara gara sipit 
86,positive, saya sebagai muslim tidak merasa pak menistakan kitab suci alquran an karena dalam alquran an sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum
87,negative, eh kasar kamu kampang 
88,positive,bentar lagi gue rilis album the onta sih wkwk 
89,negative, ada cebong bang dia merasa paling benar 
90,positive,najis banget gue mentwit apa barusan he 
91,negative,kamu transgender atau bagaimana anjing uniform resource locator
92,positive, awas bintitan kamu mengintip titit kucing 
93,positive, bawel bawa perasaan bolot baik bodor tidak jelas wkwk apa ya sudah itu saja deh 
94,negative, gue menyarankan tidak perlu banyak bacot maling ayat langsung to the point saja kamu jadi orang yang tidak sepaham kamu teriaki saja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas deh 
95,negative,jangan salah target bukan ahok agenda utama lengserkan jokowi 
96,negative, masa baru kena tagar saja sudah kepanasan ingin tahu banget 2019 ganti presiden
97,positive,maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu bodoh uniform resource locator
98,positive, huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda dulu tidak ada yang namanya kristen protestan yang ada cuma kristen katolik terjadilah perpecahan dan berdirilah huria kristen batak protestan yang p sama kali di tarutung dan nah sekarang anda saya k
99,positive,apa apa banyak baca biar pintar jepang amerika cina utang sama siapa anda tau tidak 
100,negative,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu
101,positive, dan yang takut dengan azan adalah iblis 
102,negative, yang goblok itu adalah bani cebong tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal 
103,negative, wah cebong sewot dan xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 
104,positive,2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
105,negative,padahal gubernur saat ini djarot mayoritas pak ai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot payah ya mereka uniform resource locator
106,positive, rezim rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau itu pasti ketemu saja komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya 
107,positive,saat orang orang saling menuding antek asing asing sesungguhnya be epuk tangan 
108,positive, nah lah katanya anti asing 
109,positive,selamat pak semoga bisa terus berkiprah bahkan tingkat nasional 
110,positive, asyik menang saya sih ikut ulama saja
111,positive, yang saya ketahui bahwa diketapang banyak tenaga kerja asing asing yang bekerja di berbagai perusahaan termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak
112,negative, anak pecun tidak jauh jauh dari hobi zina haha 
113,positive, aku bom surat berharga syariat negara 
114,positive, istirahat saja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun 2003
115,positive,pada 1979 house select committee on assassination hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya 
116,positive, tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pemilihan presiden acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin 
117,positive, ian pantat 
118,positive, mengakuinya orang pintar dan beragama memangnya agama mana yang memperbolehkan menista dan menghujat orang lain jangankan orang bodoh orang yang maaf sejak lahir idiot sekalipun dia kita harus hargai sebagai sesama ciptaan tuhan ingat iblis itu juga pintar dan sangat licik 
119,negative,pendaftaran calon presiden untuk pemilihan presiden 2019 saja belum dibuka sampai agustus 2018 yang normatif begini politikus pak ai demokrasi indonesia perjuangan masih belum paham 2019 ganti presiden 
120,negative,sih tolol sudah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator
121,positive,dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur kamu dan gue merasa jadi anak yang berengsek saja begitu ke laki laki 
122,negative,cina perusak bangsa usir setuju 
123,negative, 2019 ganti presiden secara konstitusional hak setiap rakyat woiii begini nih kalau plonga plongo tapi kelakuan otoriter 
124,positive,mari kita wujudkan pilihan kepala daerah kota bengkulu 2018 aman dan damai coki adem86 98heru 
125,positive,mau tanya serius ini sama presiden jokowi kenapa yang ada cuma islam nusantara kenapa tidak ada kristen nusantara buddha hindu bahkan kong hucu nusantara 
126,positive,kebersamaan pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam
127,positive,cowok yang jago drasex mana sini ngentot sama adik luvian 
128,negative, kroasia itu kafir tau apa belajar sama kafir sudah lupa sama kapling sorga 
129,negative, lah bukan nya menteri suha o ada yang homo 
130,positive,gue tau lah bukan yang dulu yang masih culun dan takut semua orang pasti akan berubah perlahan lahan entah itu baik buruk 
131,positive,pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam 
132,negative,kejar setoran memang cukup bangsat mana rupiah turun xf0 x9f x98 xa5 
133,negative,semoga ini ada tindak lanjutnya pelaporan terhadap penista agama adik armando akan dilakukan langsung oleh ketua umum front pembela islam kh shobri lubis ke badan reserse kriminal markas besar kepolisian republik indonesia gambir jaka a pusat pada selasa 10 4 pukul 13 00 waktu indonesia bagian barat perhaps 
134,negative, bangkai hajar 
135,negative, onta mati kalau kebanyakan minum 
136,negative,uniform resource locator ahok tng mereka terus was was hidupnya 
137,negative,itu baru di sul teng ini ekses akibat tersandera hutang cina 2019 ganti presiden 2019 presiden baru 2019 tetap jokowi ganti
138,positive,6 pride yunani xe1 xbd x99 xcf x80 xce xb5 xcf x81 xce xb7 xcf x86 xce xb1 xce xbd xce xaf xce xb1 hyper xc4 x93phania keangkuhan harga diri kesombongan dikenal juga dengan sebutan hubris vanity harga diri yang tinggi dapat mengubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhan dan dapat membuat manusia mencintai dirinya sendiri 
139,positive,aku be anya tujuan pada hati logikaku yang menjawab tapi hati tak tenang aku be anya pada logika hatiku sedih ku cari jawaban dalam wasiat yang beliau tinggalkan dan aku mulai menjadi terasing dan asing di mata manusia tak apa duhai diri ada
140,negative, tak hanya kurang be aji nya komisi pemberantasan korupsi era ini tapi era ini juga komitmen dalam pemberantasan korupsi tidak surat pemberitahuan tahunan di era pak susilo bambang yudhoyono 
141,negative, admin tolol di pak ai tolol kenapa ai tolol untuk orang tolol 
142,positive, ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak uniform resource locator
143,positive,video tentang tenaga kerja asing dibuat oleh malaysia tapi mengutip pernyataan saya di 
144,positive,ppp jangan buru buru tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah
145,positive,random pagi pagi ada bapak bapak menyamper ke meja kerja terus be anya pakai bedak apa sih biar mukanya bersih istri saya butek soalnya ingin ku jawab pakai air wudhu tapi ku kristen 
146,positive, kok gue kampret 
147,positive,memek lonte ingin disodok kontol gede 
148,negative,jokowi saja yang mundur tutup uniform resource locator
149,negative, berbicara apa itu mulut kok sepe i banci beli kaca dulu lihat dirimu bro 
150,negative, ada amin racist nada amat dani nada ratna sih paiiit nada sih onta nada sih lobang anus jadi jangan takut oi oi kehabisan obat penenang ya 
151,negative, tunggu komando imam bejat cabul tai bir xf0 x9f x8d xba dan kenapa kenapa bawa ulama dasar banj sempak 
152,negative,kabinet berantakan pemecah belah persatuan hanya ada di rezim ini 
153,negative,ih mengakui lebih pintar dari orang politik mengaca dulu oi tampang kamu saja k xc3 xa6k orang bego wkwk 
154,negative, pak ai demokrasi indonesia perjuangan menang dengan menekan perusahaan tambang dengan target proyek yang impossible lalu dilelang murah pada antek cina ntb contoh kasus pak ai demokrasi indonesia perjuangan mau menang dasar bajingan 
155,negative, tidak percaya sama mulut buaya mu bawang 
156,positive,2019 jika susilo bambang yudhoyono prabowo menyatu melawan mega jokowi maka peristiwa 2004 akan terulang dimana pak ai demokrasi indonesia perjuangan yang incumbent dikalahkan mutlak oleh susilo bambang yudhoyono tetapi jika jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai sudah jika 3 poros di pemilihan presiden mk salah satu lawan
157,negative, jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presiden 2019 melawan jokowi
158,positive,bebal 
159,positive,5 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan mereka obviously 
160,negative, umuh begitu persib persib kunyuk dan xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 
161,negative, buat film muslim pilih ahok mati tidak di disalatkan dijamin laris 
162,positive,tapi banu banu yahudi itu tentu beda dengan banu banu kristen suriah salah satu perbedaan ada banu yahudi tetap pakai eloah elohim yahwe sedangkan suriah sudah pakai alah allah 
163,positive, eh kenapa muka merah merah itu tak dapat cendol ke bukan lah setan cuaca sekarang nih panas 
164,negative,pemberitaan saracen diframing katak seakan tim prabowo dan anies sandi sebenarnya itu media menumpahkan sakit hati katak dan cebong ehe
165,positive,giat bhayangkara pembina keamanan dan kete iban masyarakat brigadir polisi manajemen berbasis sekolah sihombing pada hari ini rabu 11 april 2018 melaksanakan sambang desa dan tatap muka sekaligus memantau keamanan dan kete iban masyarakat menuju pilihan kepala daerah 2018 di desa lobusiregar i tepatnya di rumah rudi panjaitan helman siahaan dan hotman siahaan
166,positive,sayang banget ya melihat perempuan kayak begini tidak ada status apa apa tetapi sudah menempel sama laki laki sana sini aduh nagita slavina blak blak sebut ayu ting ting kampungan xe2 x80 x93 viva uniform resource locator
167,positive, jangan lupa juga kang umat katolik dan minoritas lainnya diperhatikan gubernur untuk semua golongan bukan satu golongan 
168,negative, kan saya bukan cebong sudah dibilangi dari kemarin masih mengeyel situ memaksa saya jadi cebong 
169,negative, kelemahan gerindra itu ada di orang ini prabowo turun elektabilitasnya karena congor fadli zon surat pemberitahuan tahunan durno 
170,positive,selamat hari kakak ini setiap kali selalu dirayakan lalu apa maknanya kali ini 
171,positive,foto memang bisu tetapi memiliki banyak a i yang susah dia ikan sama sepe i kamu susah dia ikan mau putus atau lanjut 
172,positive, wkwk aku sudah mengalaminya xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 setibanya muncul grub wa a dan bani abdi hadi a k a mbahku dan seketika aku mek kenal beberapa orang saja xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 
173,positive,ayah pres badar dan nuqaba paling boekkk dia nih hebat dalam bidang agama x takut natural killer tegur member sendiri dan selalu buat lawak hambar yang paling aku ingat sampai sekarang lawak dia kalau orang cukup jom gerak sekarang dia akan gerakan badan dia yang chubby itu 
174,positive, seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allah ya rahman tun abdul razak ds malaysia memilih hogohundi
175,positive, haha sialaaan nih sih ternyata kalau lagi lapar presiden juga mau disikat sama dia 
176,negative, mau menasihati kali supaya tidak ugal ugalan nih rezim eh tapi ini negeri sudah keburu hancur nah sekarang saja ekonomi moral menikah kacaoooooo 
177,positive, alah silit kebelet kenapa dikasihani orang makin sayang saya pak setelah kasus media sosial gue baru sadar beberapa hal di satu instansi kemarin nanti gue ceritakan duuuhhh xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f x98 x85 
178,positive, iya tadi cacat 
179,negative, tahun 2019 rakyat makan aspal dan beton ini adalah solusi jitu mengurangi kemiskinan keahlian cebong hanya 1 tukang tipu cebong adalah begitu goblok tidak ketulungan plonga plongo mengakibatkan optimisme berlebihan 2019 ganti presiden 
180,positive, aku pernah sempat baca tentang harun yahya ini yang membelot ke kubu yahudi dengan freemason nya kadang suka tidak percaya 
181,positive,kita maju bersama ulama kita bergerak bersama semua tokoh agama untuk indonesia ikut gus mus
182,positive, 
183,positive, mukidi terlalu percaya diri pe anyaan mudah ya dijawab yang keras tapi saya meminta dijawab yang keras siapa nama saya 
184,negative, kemarin di hujat sekarang mengharap dasar para bani kampret 
185,negative, penjelasan saya bukan fitnah silakan dibantah apollinaris darmawan sebut al alquran kitab sampah
186,negative,monyet saja koloe dibilang saudara sama kamu pasti ogah hidupmu kok begini amat ya itu hati apa comberan 
187,positive,body lufra scrub dengan bahan dasar lidah buaya untuk melembabkan kulit amp lebih bercahaya info 087812026394 body mass indeks 
188,positive, tak punya cacat di masa lalu karena belum bermasa lalu 
189,positive, jangan jangan penganut bumi datar juga xf0 x9f x98 x9d soalnya teori bumi bulat kan dari orang asing yang notabene musuh mereka 
190,negative,becak warga binjai hendak disita karena gunakan tenda be uliskan 2019 ganti presiden pak ai keadilan sejahtera meradang bukti pemerintah panik dan takut 
191,negative,lebih baik jokowi mundur 
192,positive,musyawarah nasional alim ulama ppp di semarang menghasilkan lima rekomendasi syarat dan kriteria kriteria bagi calon wakil presiden yang akan mendampingi bapak jokowi di 2019 mendatang romahurmuziy
193,positive, luar biasa pencerahan nya saya merasa gagal sebagai anak ekonomi wkwk
194,positive, kafan berasal dari budaya yahudi kenapa umat islam mengklaim 
195,negative,oleh rezim sekarang atas kendali negara cina komunis yang menjadi patron tunggal rezim anti islam jokowi 
196,positive, itu tanda nya mau pilihan kepala daerah dan pemilihan presiden
197,positive,misi 4 membangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya jawa barat yang luhur nomor tiga jawa barat asyik asyik menang
198,positive,ketabahan pasangan dan taufik dan puan nurliyana yang wajar dicontohi jom kita beri sumbangan untuk meringankan beban pasangan ini come on twitter do your berpikir badan standarisasi nasional 0510541000096745 bank islam 05058020145124 nurliyana bosan abdul razif 
199,negative, apa sih tai baru begitu doang belaganya sudah selangit tidak ingat ada karma nanti beberapa tahun lagi kalau idol kamu flop gue te awa paling keras 
200,positive, celeng kangen gue iya 
201,positive, terangi negeri dengan budaya yuk pada mengunjungi ke purwoke o mumpung ada even rakyat purwoke o ekstra vaganza banyumas
202,positive,presiden itu punya dana taktis dia bisa menggunakan untuk kepentingan rakyatnya di luar program program pemerintah yang sudah ada soal program banyak sekali ada pembangunan infrastruktur kip kakak kamu indonesia sehat se ifikat tanah perhutanan sosial bahan bakar minyak 1 harga padat karya 
203,positive, amin ya allah timnya kinan saja sampai pelatihan ular karena dia dapat di rawa rawa aku dapatnya di sungai gede begitu dan musuhnya buaya wkwk 
204,negative, maju kamu memaki mama aku bolot 
205,negative,gerombolan kadal jidat gosong memang begitu sukanya ribut tapi kalau gerombolannya yang salah pura pura budek dasar gerombolan cingkrang uniform resource locator
206,positive, sebegitu gentarnya dia takut terhadap kafir xf0 x9f x98 x81 
207,negative, betul padahal saracen juga siapa sehingga akun yang kritis dianggap saracen kan aneh jokowi
208,negative, siapa bego kamu bukan teman gue najis sudah kesal sendiri gue 
209,negative, kafir kristen selalu buat ulah
210,negative, tau dong bau baunya sudah keciri ini sipit buluk 
211,positive, kayak memegang bukan mucikari 
212,positive,guru tk darma wanita persatuan desa plumbon porong deklarasi anti hoaks ujaran kebencian isu sarah dan mendukung pilihan kepala daerah damai
213,positive, anjir seram mainnya begituan xf0 x9f x98 x82 xf0 x9f x91 x8c 
214,positive, kayaknya bisa atau cuma bank te entu bilang saja mau jual uang asing tukar ke rupiah 
215,negative, onta yaman nih dan setahun lagi gue depo asi kamu 
216,positive,hati hati berita pilihan kepala daerah yang berbau hoaks madiun madiun today 100thmadiun kotak karismatik madiun tolak cukai ilegal kunjungi juga
217,negative, anak cocot ya ini 
218,negative, xf0 x9f x99 x88 xf0 x9f x99 x88 xf0 x9f x99 x88 xf0 x9f x99 x88 xf0 x9f x99 x88 xf0 x9f x99 x88 xf0 x9f x99 x88udah ketahuan hoaks ya fahri makanya kalau ambil berita tuyg pembaruan jangan dari tong sampah diambil terus di screenshoot taunya berita sudah
219,positive,mantap direct message dekat sama barisan serba guna bang 
220,positive,ternyata ada lebah yang tidak suka bunga tapi makan bangkai gue penasaran madu nya kayak bagaimana xf0 x9f xa4 x94 
221,negative, pantas indonesia mundur dalam segala bentuk
222,positive, nah yang dungu yang bilang hacker haha 
223,negative, haha blunder kamu cebong yang tidak memberi itu protein energy malnutrition pusat dengan alasan ham kalau rakyat aceh ya mau kali pun coba kamu datangi pemerintah bilang suruh buat hukum islam kaffah di aceh kalau dewan perwakilan rakyat a
224,positive,bangsat gue sudah menyelam sampai bawah bawah balik lagi ke atas 1 
225,positive,saya tak bisa dipancing pancing dengan urusan penistaan atau bukan saya hanya berbicara pemahaman saya tentang fiksi dan kitab suci 
226,negative, cebong kacung itu kita teman gue dungunya sampai ke tulang sumsum jadi jangan buang buang energi debat sama mereka xf0 x9f x98 x82 
227,negative, pak ai korupsi sapi goblok 
228,negative,sinyal kontol pemeliharaan apalagi ini niat tidak sih login twitter doang susah amat bagaimana mau open redtube setan 
229,positive, matanya aku tak mau aku kafir wkwk 
230,positive, jadi ingat facebook anjir lupa aku 
231,positive, kalau aku sih bakal bilang alah kontol 
232,negative,nikita mirzani sudah pakai hijab yang masih berbicara cebang cebong sudah pernah fantasikan dia belum uh ah cokorers 
233,positive, tatapannya dialihkan ke arah lain enggan menatap pria mencurigakan itu lagi pula siapa yang pe sama kali membuat gaduh suasana jika angie tidak menemukan ada seorang pria asing yang tidur di sofanya kejadian sepe i ini tidak akan terjadi 
234,positive,lahir dan berkembangnya gerakan komunis di indonesia tidak dapat dipisahkan dari sebuah organisasi yang bernama indische sociaal democratische vereeniging 
235,positive,shaheizy sama wajah baharu calpis
236,positive, ya terserah kamu saja balasnya kembali fokus kepada pekerjaan kita kami mengerjakan tugas proyek seni budaya hanya dalam 2 hari setelahnya langsung dikumpul dan dipresentasikan bersyukur nilainya memuaskan setelah kejadian proyek itu kami makin
237,positive,tidak akan bro
