Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Type,Target
xe2 x80 x9dpara bajingan melukai lady menerima ganjaran seratus kali lipat xe2 x80 x9d sanji selamat ulang pelaut jkt48,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
ajakan menolak berita hoaks sukseskan pilihan kepala daerah wilayah kota kediri,0,0,0,0,0,0,0,0,0,0,0,0,None,None
presiden ri jokowi kerja nya tulus ikhlas rakyat jokowi,0,0,0,0,0,0,0,0,0,0,0,0,None,None
edan tujuannya fabiano,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
mendalami al alquran ya bang mulutnya kayak orang kafir bejat hina farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0,Hate Speech & Abusive,Individual
beda kewibawaannya berwibawa gubernur indonesia masya allah,0,0,0,0,0,0,0,0,0,0,0,0,None,None
anjir kali lihat orang bego debat pilihan kepala daerah kerjanya menyerang karakter kecewa on empok silvy and agus debat final pemilihan kepala daerah jaka a,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot syiar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama sesungguhnya kekayaan djarot hadapan pese a rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0,None,None
iya islam lokalisasi kristen mas nusantaranya mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan nusantara,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ciptakan situasi keamanan kete iban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0,None,None
positif nse positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor nurl,0,0,0,0,0,0,0,0,0,0,0,0,None,None
sembahyang mengadopsi tradisi lokal pekerjaan hindu istilah xc2 xa0sembahyang xc2 xa0pun lahir tradisi ritus xc2 xa0menyembahhyang tunggal xc2 xa0shalat menyembah all,0,0,0,0,0,0,0,0,0,0,0,0,None,None
pendidikan bodoh larang bawa agama biar orang islam bayar ahok sadar memilih ahok gila,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
ahok the best abaikan kaum kampret otak micin,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
sih otak tempurung meladeni lawan dungu makan hehe,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
awaasss beritanya saudara gerung susah mencari kosakatanya bocor memicing mata bibir monyong kesamping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu xf0 x9f x98 x8b,1,1,1,0,0,0,1,0,0,1,0,0,Hate Speech & Abusive,Individual
pinokio umur 3 tahunan 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
cerita silat lae xf0 x9f x98 x80 kho merah muda oh indonesia liang ie shen penulis cina,0,0,0,0,0,0,0,0,0,0,0,0,None,None
benci umat islam,1,0,0,1,1,0,0,0,0,0,1,0,Hate Speech,Group
provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus kota cebong mendeskripsikan kekalahan junjungannya for your information ahok pemilihan apapun kecamatan wakil etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0,Hate Speech & Abusive,Individual
gue nete,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
wkwk bani lowo,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
takabur lahir penguasa rakyat ulama cendikia iblis makhluk alim amp beribadah beratus ratus dilaknat hasud takaburnya ahli ilmu filsafat failosof mari demo sendi,0,0,0,0,0,0,0,0,0,0,0,0,None,None
a orang suka konser konser boros,0,0,0,0,0,0,0,0,0,0,0,0,None,None
makan racun ulama hukum rokok mubah,0,0,0,0,0,0,0,0,0,0,0,0,None,None
susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus khofifah emil nomor,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kali gue penggemar korea pop mengomong teman teman gue idol gue banci homo,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
suka video uniform resource locator kisah perseteruan haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0,None,None
budaya kafir bersungguh islam diindahkan,0,0,0,0,0,0,0,0,0,0,0,0,None,None
xf0 x9f x8e xb6 hem hem xf0 x9f x8e xa7 diam bisu coba rumput bergoyang xe2 x99 xab xe2 x99 xab xe2 x99 xab xe2 x99 xaa xe2 x99 xaa xe2 x99 xaa,0,0,0,0,0,0,0,0,0,0,0,0,None,None
setan membisikkan was was kepadamu mintalah perlindungan allah qs al a xe2 x80 x99raf 200 fussilat 36,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ateis sibuk agama orang,0,0,0,0,0,0,0,0,0,0,0,0,None,None
lengserkan jokowi bangsat,1,1,1,0,0,0,0,0,1,0,0,1,Hate Speech & Abusive,Individual
selamat kakak 2019 ganti presiden 2019 presiden,0,0,0,0,0,0,0,0,0,0,0,0,None,None
bajingan homo hati hati anak anak kamar mandi laki laki biarkan uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
iya cocot,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0,None,None
mengajarkan salat a orang asing memecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0,None,None
x berbicara bangkai,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
memercayai negara dijajah ranah pembubaran sistem sistem beraja negara menjadikan negara republik komunis negara negara penjaja,0,0,0,0,0,0,0,0,0,0,0,0,None,None
menikmati kebijakan diusulkan ai komunis indonesia iya,1,0,0,1,0,1,0,0,0,0,1,0,Hate Speech,Group
seumpama orang cina usir paksa indonesia,1,0,0,1,0,1,0,0,0,0,1,0,Hate Speech,Group
bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
cina babi cina maling usir cina hype ext transfer protocol over secure socket layer t co 9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1,Hate Speech & Abusive,Group
karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing kebo ohannya keliru tutup akun,0,0,0,0,0,0,0,0,0,0,0,0,None,None
proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
wajar lihat tingkah petinggi negeri suka mencampur bahas indonesia bahas asing kali bicara,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ab pribadi senang berkompetisi positif,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kitab suci agama bilang om mendadak kalap,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
suka menutup mata ditutup te utup gara gara sipit,0,0,0,0,0,0,0,0,0,0,0,0,None,None
muslim menistakan kitab suci alquran an alquran an suku detik makna faktualnya umat islam makna tersirat fiksi,0,0,0,0,0,0,0,0,0,0,0,0,None,None
eh kasar kampang,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
bentar gue rilis album the onta sih wkwk,0,0,0,0,0,0,0,0,0,0,0,0,None,None
cebong bang,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
najis banget gue mentwit barusan he,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
transgender anjing uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
awas bintitan mengintip titit kucing,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
bawel bawa perasaan bolot bodor wkwk ya deh,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
gue menyarankan bacot maling ayat langsung to the point orang sepaham teriaki kafir sesat liberal pemuja dukun bla blaaa hatimu puas deh,1,1,1,0,1,0,0,0,0,1,0,0,Hate Speech & Abusive,Individual
salah target ahok agenda utama lengserkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1,Hate Speech,Individual
kena tagar kepanasan banget 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
maju duit goyang kaki pape duit nak maju kat bodoh uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
huria kristen batak protestan berdiri pecahnya kristen katolik zaman penjajahan belanda namanya kristen protestan kristen katolik perpecahan berdirilah huria kristen batak protestan p kali tarutung k,0,0,0,0,0,0,0,0,0,0,0,0,None,None
baca biar pintar jepang amerika cina utang tau,0,0,0,0,0,0,0,0,0,0,0,0,None,None
prabowo kalah menyebut bantuan jokowi pencitraan ratapan pilu,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
takut azan iblis,0,0,0,0,0,0,0,0,0,0,0,0,None,None
goblok bani cebong tukang tipu penjilat penguasa ketahuan gerakan dibayar pakai nasi bungkus propaganda nasi bungkus gagal,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
cebong sewot xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
2 gerakan menekankan kerja keras total tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0,None,None
gubernur djarot mayoritas ai politik dewan perwakilan rakyat daerah pendukung ahok djarot payah ya uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
rezim rusak memperbaiki sistemnya sibuk cari cari kesalahan ketemu komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang engah selesai organisasi orangnya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
orang orang menuding antek asing asing sesungguhnya be epuk tangan,0,0,0,0,0,0,0,0,0,0,0,0,None,None
anti asing,0,0,0,0,0,0,0,0,0,0,0,0,None,None
selamat semoga berkiprah tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0,None,None
asyik menang sih ulama,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ketahui diketapang tenaga kerja asing asing perusahaan pt who tambang bauksit viral pemilihan presiden kerja era gubernur cornelis wakilnya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
anak pecun hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
bom surat berharga syariat negara,0,0,0,0,0,0,0,0,0,0,0,0,None,None
istirahat presiden momentum saksi telinga mata rapat pembentukan pacitan 2003,0,0,0,0,0,0,0,0,0,0,0,0,None,None
1979 house select committee on assassination hsca menemukan cacat investigasi fbi warren commission hsca menyimpulkan tembakan konspirasi dalamnya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
genap 1 17 april 2018 digelar hajatan pemilihan presiden acara tahunan negara indonesia memilih presiden semoga senantiasa berjalan aman lancar amin,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ian pantat,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
mengakuinya orang pintar beragama memangnya agama memperbolehkan menista menghujat orang orang bodoh orang maaf lahir idiot hargai ciptaan tuhan iblis pintar licik,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
pendaftaran calon presiden pemilihan presiden 2019 dibuka agustus 2018 normatif politikus ai demokrasi indonesia perjuangan paham 2019 ganti presiden,1,0,0,1,0,0,0,0,1,0,1,0,Hate Speech,Group
sih tolol tau pemerintah rezim komunis bobrok koruptor pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator,1,1,1,0,0,1,0,0,0,1,0,0,Hate Speech & Abusive,Individual
gue mantan mantan gue sedih kepikiran tidur gue anak berengsek laki laki,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
cina perusak bangsa usir setuju,1,0,0,1,0,1,0,0,0,0,0,1,Hate Speech,Group
2019 ganti presiden konstitusional hak rakyat woiii nih plonga plongo kelakuan otoriter,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
mari wujudkan pilihan kepala daerah kota bengkulu 2018 aman damai coki adem86 98heru,0,0,0,0,0,0,0,0,0,0,0,0,None,None
serius presiden jokowi islam nusantara kristen nusantara buddha hindu kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kebersamaan pernyataan moeldoko bukti istana takut kebangkitan umat islam,0,0,0,0,0,0,0,0,0,0,0,0,None,None
cowok jago drasex ngentot adik luvian,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
kroasia kafir tau belajar kafir lupa kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0,Hate Speech & Abusive,Group
nya menteri suha o homo,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
gue tau culun takut orang berubah perlahan lahan buruk,0,0,0,0,0,0,0,0,0,0,0,0,None,None
perang salib kerajaan afrika terbagi babilonia pemeluk kristen tobaco pemeluk islam,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kejar setoran bangsat rupiah turun xf0 x9f x98 xa5,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
semoga tindak pelaporan penista agama adik armando langsung ketua front pembela islam kh shobri lubis badan reserse kriminal markas kepolisian republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat perhaps,1,0,1,0,1,0,0,0,0,1,0,0,Hate Speech,Individual
bangkai hajar,1,1,1,0,0,0,0,0,1,0,0,1,Hate Speech & Abusive,Individual
onta mati kebanyakan minum,1,0,0,1,0,0,0,0,1,0,1,0,Hate Speech,Group
uniform resource locator ahok tng was was hidupnya,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
sul teng ekses akibat tersandera hutang cina 2019 ganti presiden 2019 presiden 2019 jokowi ganti,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
6 pride yunani xe1 xbd x99 xcf x80 xce xb5 xcf x81 xce xb7 xcf x86 xce xb1 xce xbd xce xaf xce xb1 hyper xc4 x93phania keangkuhan harga kesombongan dikenal sebutan hubris vanity harga mengubah manusia sombong kesombongan manusia terkutuk dimata tuhan manusia mencintai,0,0,0,0,0,0,0,0,0,0,0,0,None,None
be anya tujuan hati logikaku hati tenang be anya logika hatiku sedih ku cari wasiat beliau tinggalkan terasing asing mata manusia duhai,0,0,0,0,0,0,0,0,0,0,0,0,None,None
be aji nya komisi pemberantasan korupsi era era komitmen pemberantasan korupsi surat pemberitahuan tahunan era susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1,0,1,0,Hate Speech,Group
admin tolol ai tolol ai tolol orang tolol,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
ayu ting ting goyang hot raffi ahmad nagita slavina kampungan norak uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
video tenaga kerja asing malaysia mengutip pernyataan,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ppp buru buru tolak wacana pilihan kepala daerah dewan perwakilan rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0,None,None
random pagi pagi menyamper meja kerja be anya pakai bedak sih biar mukanya bersih istri butek ku pakai air wudhu ku kristen,0,0,0,0,0,0,0,0,0,0,0,0,None,None
gue kampret,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
memek lonte disodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
jokowi mundur tutup uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
berbicara mulut sepe i banci beli kaca lihat dirimu bro,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
amin racist nada dani nada ratna sih paiiit nada sih onta nada sih lobang anus takut oi oi kehabisan obat penenang ya,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
tunggu komando imam bejat cabul tai bir xf0 x9f x8d xba bawa ulama dasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
kabinet berantakan pemecah belah persatuan rezim,1,0,0,1,0,0,0,0,1,0,1,0,Hate Speech,Group
ih mengakui pintar orang politik mengaca oi tampang k xc3 xa6k orang bego wkwk,1,1,1,0,0,0,1,0,0,1,0,0,Hate Speech & Abusive,Individual
ai demokrasi indonesia perjuangan menang menekan perusahaan tambang target proyek impossible dilelang murah antek cina ntb contoh ai demokrasi indonesia perjuangan menang dasar bajingan,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
percaya mulut buaya mu bawang,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
2019 susilo bambang yudhoyono prabowo menyatu melawan mega jokowi peristiwa 2004 terulang dimana ai demokrasi indonesia perjuangan incumbent dikalahkan mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai 3 poros pemilihan presiden mk salah lawan,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kayak banci kaleng gatot gaduh gentleman mundur bersaing pemilihan presiden 2019 melawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
bebal,0,0,0,0,0,0,0,0,0,0,0,0,None,None
5 indonesia negara populasi muslim terbesar dunia islam musuh barat amp komunis menghambat agenda kepentingan obviously,0,0,0,0,0,0,0,0,0,0,0,0,None,None
umuh persib persib kunyuk xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
film muslim pilih ahok mati disalatkan dijamin laris,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
banu banu yahudi beda banu banu kristen suriah salah perbedaan banu yahudi pakai eloah elohim yahwe suriah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0,None,None
eh muka merah merah cendol setan cuaca nih panas,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
pemberitaan saracen diframing katak seakan tim prabowo anies sandi media menumpahkan sakit hati katak cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
giat bhayangkara pembina keamanan kete iban masyarakat brigadir polisi manajemen berbasis sekolah sihombing rabu 11 april 2018 melaksanakan sambang desa tatap muka memantau keamanan kete iban masyarakat pilihan kepala daerah 2018 desa lobusiregar i tepatnya rumah rudi panjaitan helman siahaan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0,None,None
sayang banget ya perempuan kayak status menempel laki laki aduh nagita slavina blak blak ayu ting ting kampungan xe2 x80 x93 viva uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
lupa kang umat katolik minoritas diperhatikan gubernur golongan golongan,0,0,0,0,0,0,0,0,0,0,0,0,None,None
cebong dibilangi kemarin mengeyel situ memaksa cebong,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
kelemahan gerindra orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan tahunan durno,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
selamat kakak kali dirayakan maknanya kali,0,0,0,0,0,0,0,0,0,0,0,0,None,None
foto bisu memiliki a i susah ikan sepe i susah ikan putus,0,0,0,0,0,0,0,0,0,0,0,0,None,None
wkwk mengalaminya xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 muncul grub wa a bani abdi hadi a k a mbahku mek kenal orang xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ayah pres badar nuqaba boekkk nih hebat bidang agama x takut natural killer tegur member lawak hambar lawak orang jom gerak gerakan badan chubby,0,0,0,0,0,0,0,0,0,0,0,0,None,None
anak pekan mengilhamkan dasar ekonomi deb penggerak utama kemajuan ekonomi bandar beliau allah ya rahman tun abdul razak ds malaysia memilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0,None,None
haha sialaaan nih sih lapar presiden disikat,0,0,0,0,0,0,0,0,0,0,0,0,None,None
menasihati kali ugal ugalan nih rezim eh negeri keburu hancur ekonomi moral menikah kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
alah silit kebelet dikasihani orang sayang media sosial gue sadar instansi kemarin gue ceritakan duuuhhh xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f x98 x85,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
iya cacat,0,0,0,0,0,0,0,0,0,0,0,0,None,None
2019 rakyat makan aspal beton solusi jitu mengurangi kemiskinan keahlian cebong 1 tukang tipu cebong goblok ketulungan plonga plongo mengakibatkan optimisme 2019 ganti presiden,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
baca harun yahya membelot kubu yahudi freemason nya kadang suka percaya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
maju ulama bergerak tokoh agama indonesia gus mus,0,0,0,0,0,0,0,0,0,0,0,0,None,None
,0,0,0,0,0,0,0,0,0,0,0,0,None,None
mukidi percaya pe anyaan mudah ya keras keras nama,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kemarin hujat mengharap dasar bani kampret,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
penjelasan fitnah silakan dibantah apollinaris darmawan al alquran kitab sampah,1,1,0,1,1,0,0,0,0,0,1,0,Hate Speech & Abusive,Group
monyet koloe dibilang saudara ogah hidupmu ya hati comberan,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
body lufra scrub bahan dasar lidah buaya melembabkan kulit amp bercahaya info 087812026394 body mass indeks,0,0,0,0,0,0,0,0,0,0,0,0,None,None
cacat bermasa,0,0,0,0,0,0,0,0,0,0,0,0,None,None
penganut bumi datar xf0 x9f x98 x9d teori bumi bulat orang asing notabene musuh,0,0,0,0,0,0,0,0,0,0,0,0,None,None
becak warga binjai disita tenda be uliskan 2019 ganti presiden ai keadilan sejahtera meradang bukti pemerintah panik takut,1,0,0,1,0,0,0,0,1,0,1,0,Hate Speech,Group
jokowi mundur,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
musyawarah nasional alim ulama ppp semarang menghasilkan rekomendasi syarat kriteria kriteria calon wakil presiden mendampingi jokowi 2019 romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0,None,None
pencerahan nya gagal anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kafan berasal budaya yahudi umat islam mengklaim,0,0,0,0,0,0,0,0,0,0,0,0,None,None
